backend,epoch,step,global_step,loss,grad_norm,sample_time_s
cython,1,5,28,0.4201458692550659,0.9166742563247681,0.03176546702161431
cython,1,6,29,0.4526331424713135,0.9514549374580383,0.016699563013389707
cython,1,7,30,0.3551980257034302,0.8428500890731812,0.008841319009661674
cython,1,8,31,0.4554506540298462,0.9544115662574768,0.00934224808588624
cython,1,9,32,0.3406015634536743,0.825350284576416,0.009482564986683428
cython,1,10,33,0.39419955015182495,0.8879183530807495,0.008943223976530135
cython,1,11,34,0.339368999004364,0.8238555788993835,0.008601353969424963
cython,1,12,35,0.409106969833374,0.9045518040657043,0.008608889998868108
cython,1,13,36,0.3992964029312134,0.8936403393745422,0.026334475027397275
cython,1,14,37,0.6343937516212463,1.1264046430587769,0.008745397091843188
cython,1,15,38,0.4671749472618103,0.96661776304245,0.015994500019587576
cython,1,16,39,0.45468616485595703,0.9536102414131165,0.008622232940979302
cython,1,17,40,0.533685564994812,1.0331366062164307,0.00867734698113054
cython,1,18,41,0.40427958965301514,0.8991991877555847,0.009100875002332032
cython,1,19,42,0.5262355208396912,1.02590012550354,0.008376352954655886
cython,1,20,43,0.39087188243865967,0.8841627240180969,0.008038716041482985
cython,1,21,44,0.6541142463684082,1.1437783241271973,0.009288435918278992
cython,1,22,45,0.5182258188724518,1.018062710762024,0.02400479605421424
numpy,0,0,0,0.34610146284103394,0.8319873213768005,0.021719524986110628
numpy,0,1,1,0.3293125629425049,0.8115572333335876,0.019172545056790113
numpy,0,2,2,0.3242197036743164,0.8052573800086975,0.01982161495834589
numpy,0,3,3,0.44172197580337524,0.9399169683456421,0.01275181898381561
numpy,0,4,4,0.4927910566329956,0.9927650094032288,0.013200394925661385
numpy,0,5,5,0.41618549823760986,0.9123436212539673,0.03947924799285829
numpy,0,6,6,0.43553781509399414,0.9333142638206482,0.013770006014965475
numpy,0,7,7,0.34330111742019653,0.8286146521568298,0.014473362942226231
numpy,0,8,8,0.44120216369628906,0.9393638372421265,0.013821044936776161
numpy,0,9,9,0.3356964588165283,0.8193856477737427,0.013929045060649514
numpy,0,10,10,0.383475661277771,0.8757575154304504,0.02412135200574994
numpy,0,11,11,0.3346760869026184,0.818139374256134,0.02278437907807529
numpy,0,12,12,0.4027431607246399,0.8974889516830444,0.013702378026209772
numpy,0,13,13,0.38525253534317017,0.8777841925621033,0.014027224038727582
numpy,0,14,14,0.591082751750946,1.0872743129730225,0.013355956063605845
numpy,0,15,15,0.4513343572616577,0.9500886797904968,0.014002201962284744
numpy,0,16,16,0.4608260989189148,0.9600271582603455,0.025316282990388572
numpy,0,17,17,0.5032350420951843,1.0032298564910889,0.019888427923433483
numpy,0,18,18,0.39329785108566284,0.8869023323059082,0.014194049988873303
numpy,0,19,19,0.4978618025779724,0.997859537601471,0.01416483405046165
numpy,0,20,20,0.3700747489929199,0.8603193759918213,0.014321794034913182
numpy,0,21,21,0.6168124079704285,1.1106866598129272,0.014593453030101955
numpy,0,22,22,0.49666285514831543,0.9966572523117065,0.02451096207369119
numpy,1,0,23,0.3480057716369629,0.8342729806900024,0.027235475950874388
numpy,1,1,24,0.3278771638870239,0.8097864985466003,0.020633732085116208
numpy,1,2,25,0.34236061573028564,0.8274788856506348,0.021494803950190544
numpy,1,3,26,0.46927571296691895,0.968788743019104,0.025522024952806532
numpy,1,4,27,0.5277278423309326,1.0273537635803223,0.020424257963895798
numpy,1,5,28,0.4201458692550659,0.9166742563247681,0.024501677020452917
numpy,1,6,29,0.45263320207595825,0.9514548778533936,0.01619463402312249
numpy,1,7,30,0.3551980257034302,0.8428500294685364,0.015999541035853326
numpy,1,8,31,0.45545071363449097,0.9544116258621216,0.03044905001297593
numpy,1,9,32,0.3406016230583191,0.8253504037857056,0.02797892806120217
numpy,1,10,33,0.3941994905471802,0.8879183530807495,0.016175700933672488
numpy,1,11,34,0.33936893939971924,0.8238555788993835,0.016080805100500584
numpy,1,12,35,0.409106969833374,0.9045518636703491,0.028569789021275938
numpy,1,13,36,0.39929646253585815,0.8936403393745422,0.02761082409415394
numpy,1,14,37,0.634393721818924,1.1264047622680664,0.016241853940300643
numpy,1,15,38,0.4671750068664551,0.9666177034378052,0.01597848196979612
numpy,1,16,39,0.45468616485595703,0.9536101818084717,0.01589873305056244
numpy,1,17,40,0.533685564994812,1.0331366062164307,0.030688588973134756
